episode,reward,avg_loss,epsilon
1,10.0,0.0,0.995
2,68.0,0.0,0.990025
3,18.0,0.0,0.985074875
4,20.0,0.0,0.9801495006250001
5,10.0,0.0,0.9752487531218751
6,23.0,0.0,0.9703725093562657
7,22.0,0.0,0.9655206468094844
8,25.0,0.0,0.960693043575437
9,25.0,0.0,0.9558895783575597
10,10.0,0.0,0.9511101304657719
11,21.0,0.0,0.946354579813443
12,11.0,0.0,0.9416228069143757
13,11.0,0.0,0.9369146928798039
14,38.0,0.0,0.9322301194154049
15,35.0,0.0,0.9275689688183278
16,19.0,0.0,0.9229311239742362
17,22.0,0.0,0.918316468354365
18,17.0,0.0,0.9137248860125932
19,9.0,0.0,0.9091562615825302
20,17.0,0.0,0.9046104802746175
21,15.0,0.0,0.9000874278732445
22,22.0,0.0,0.8955869907338783
23,24.0,0.0,0.8911090557802088
24,38.0,0.0,0.8866535105013078
25,12.0,0.0,0.8822202429488013
26,24.0,0.0,0.8778091417340573
27,21.0,0.0,0.8734200960253871
28,34.0,0.0,0.8690529955452602
29,20.0,0.0,0.8647077305675338
30,20.0,0.0,0.8603841919146962
31,22.0,0.0,0.8560822709551227
32,9.0,0.0,0.851801859600347
33,27.0,0.0,0.8475428503023453
34,28.0,0.0,0.8433051360508336
35,45.0,0.0,0.8390886103705794
36,17.0,0.0,0.8348931673187264
37,23.0,0.0,0.8307187014821328
38,22.0,0.0,0.8265651079747222
39,17.0,0.0,0.8224322824348486
40,15.0,0.0,0.8183201210226743
41,22.0,0.0,0.8142285204175609
42,32.0,0.0,0.810157377815473
43,25.0,0.0,0.8061065909263957
44,32.0,0.0,0.8020760579717637
45,22.0,0.3256962336599827,0.798065677681905
46,16.0,0.08344949455931783,0.7940753492934954
47,15.0,0.021621058757106463,0.7901049725470279
48,24.0,0.013595365492316583,0.7861544476842928
49,9.0,0.009436317719519138,0.7822236754458713
50,27.0,0.0045068963016900755,0.778312557068642
51,18.0,0.004098686839117565,0.7744209942832988
52,12.0,0.0035877401824109256,0.7705488893118823
53,15.0,0.006163280930680534,0.7666961448653229
