episode,reward,loss,epsilon
1,-155.9735638089679,0.0,0.995
2,-170.72764221923325,0.0,0.990025
3,-33.39629766199879,0.0,0.985074875
4,-184.50376109666385,0.0,0.9801495006250001
5,-363.3745642630188,0.0,0.9752487531218751
6,-98.58176651598964,0.0,0.9703725093562657
7,-266.17937382497416,0.0,0.9655206468094844
8,-123.38889362128509,0.0,0.960693043575437
9,-103.31174795703336,0.0,0.9558895783575597
10,-109.43080986106341,0.0,0.9511101304657719
11,-140.1157710949655,2.9055782006337094,0.946354579813443
12,-129.693370696999,2.0682762945202033,0.9416228069143757
13,-93.80178147316136,1.7560436614306576,0.9369146928798039
14,-122.75614334329349,1.7876874095562734,0.9322301194154049
15,-293.3575453445172,1.727041898876108,0.9275689688183278
16,-132.22792209615022,1.5414370951744227,0.9229311239742362
17,-191.5554288215963,1.6045520073109931,0.918316468354365
18,-102.34620777797733,1.5484410658478738,0.9137248860125932
19,-128.36651165176522,1.591835218999121,0.9091562615825302
20,-109.45844760685893,1.502150459565978,0.9046104802746175
21,-250.7106873486789,1.5310927488737636,0.9000874278732445
22,-97.8449533760519,1.5716384084895254,0.8955869907338783
23,-200.82787004109406,1.6090371224683584,0.8911090557802088
24,-79.79302636158486,1.4811867777948027,0.8866535105013078
25,-111.77080857716247,1.4390766090255673,0.8822202429488013
26,-107.36697448960973,1.3686297423052556,0.8778091417340573
27,-191.4303076432018,1.27009380091955,0.8734200960253871
28,-22.76926953480222,1.5256438137486923,0.8690529955452602
29,-101.36060042221965,1.3576041503438672,0.8647077305675338
30,-126.36841239131755,1.3979962395161998,0.8603841919146962
31,-119.60808735755614,1.3245420420328073,0.8560822709551227
32,107.9959834163326,1.5351415338665246,0.851801859600347
33,-85.0574000867287,1.607842808616334,0.8475428503023453
34,-174.98909003635973,1.733241339524587,0.8433051360508336
35,-162.91323728431755,1.5334018770750466,0.8390886103705794
36,-106.37276157548244,1.6048628081878027,0.8348931673187264
37,-120.01171404372185,1.5883015439365848,0.8307187014821328
38,-91.23393854194593,1.5520249250229825,0.8265651079747222
39,18.49201727785396,1.561997846666589,0.8224322824348486
40,-127.70415197694436,1.5851474399952328,0.8183201210226743
41,-10.853247283361128,1.5161369496583939,0.8142285204175609
42,-40.488699902989964,1.4863302959609277,0.810157377815473
43,-99.00080549608967,1.5591792558992146,0.8061065909263957
44,-82.7339917169429,1.6875587636177694,0.8020760579717637
45,-54.774916908977275,1.6222079651136148,0.798065677681905
46,-30.55227467324518,1.639567189175507,0.7940753492934954
47,-67.01922191142276,1.6887725926935673,0.7901049725470279
48,-21.36559069119457,1.5390998075405757,0.7861544476842928
