pl_name,hostname,discoverymethod,disc_year,pl_bmasse,pl_rade,pl_orbper,pl_eqt,st_teff,st_mass,sy_dist
TOI-6080 b,TOI-6080,Transit,2026,,3.32424168,8.05562348084,,5775.46,,188.183
HD 192699 b,HD 192699,Radial Velocity,2007,666.17168,,340.94,,5041.0,1.38,71.8627
K2-53 b,K2-53,Transit,2016,,2.6,12.20772,665.0,5263.0,0.851,138.018
Kepler-1086 b,Kepler-1086,Transit,2016,,2.44,18.78425728,,4350.0,0.7,466.084
Kepler-1555 b,Kepler-1555,Transit,2016,,1.61,8.10501635,,5866.0,1.04,2013.27
Kepler-1950 b,Kepler-1950,Transit,2021,,1.52696349,10.77690029,,5455.0,0.759,697.253
Kepler-1589 b,Kepler-1589,Transit,2016,,1.09,0.991665274,,6166.0,1.18,1513.14
Kepler-1100 b,Kepler-1100,Transit,2016,,1.75,6.42200058,,6247.0,1.21,693.618
Kepler-347 d,Kepler-347,Transit,2023,,3.04,85.517344,482.0,5592.0,1.0,1298.88
KMT-2016-BLG-2605L b,KMT-2016-BLG-2605L,Microlensing,2021,245.0457018,,,,,0.064,6421.0
Kepler-49 c,Kepler-49,Transit,2012,8.38,2.444,10.91,,4095.6,0.607,311.222
Qatar-2 b,Qatar-2,Transit,2011,792.635,14.056,1.33711647,1344.0,4645.0,0.743,181.374
Kepler-585 b,Kepler-585,Transit,2016,,2.83,2.752359753,,5593.0,0.96,585.187
HD 132563 b,HD 132563,Radial Velocity,2011,473.547,,1544.0,,6289.0,1.231,105.155
HD 207832 c,HD 207832,Radial Velocity,2012,232.0159,,1155.7,,5710.0,0.94,58.9291
TOI-286 c,TOI-286,Transit,2024,3.72,1.88,39.361826,475.0,5152.0,0.832,59.2293
Kepler-175 b,Kepler-175,Transit,2014,,2.56,11.903515,,6064.0,,1312.34
Kepler-695 b,Kepler-695,Transit,2016,,9.21,3.040330424,,5181.0,0.84,842.947
Kepler-1491 b,Kepler-1491,Transit,2016,,1.51,16.5861762,,5728.0,1.0,2065.59
Kepler-1265 b,Kepler-1265,Transit,2016,,1.35,6.49441289,,4630.0,0.71,583.641
Kepler-880 b,Kepler-880,Transit,2016,,2.66,7.71468975,,6761.0,1.46,601.324
CoRoT-29 b,CoRoT-29,Transit,2015,270.1555,10.0881,2.85057,,5260.0,0.97,806.507
Kepler-592 b,Kepler-592,Transit,2016,,2.39,2.820192408,,5913.0,1.04,1153.13
CoRoT-35 b,CoRoT-35,Transit,2022,349.6112477,18.83108758,3.22748,1747.0,6390.0,1.01,1123.21
KMT-2021-BLG-2478L b,KMT-2021-BLG-2478L,Microlensing,2023,286.0455663,,,,,0.2,2970.0
GJ 433 c,GJ 433,Radial Velocity,2014,32.422,,5094.105,,,0.48,9.06456
TOI-2337 b,TOI-2337,Transit,2022,508.5254512,10.08808263,2.99432,,4780.0,1.325,536.046
Kepler-1565 b,Kepler-1565,Transit,2016,,1.19,1.538188437,,4940.0,0.76,629.93
WASP-123 b,WASP-123,Transit,2016,,15.13212395,,1500.0,,,197.996
Kepler-1655 b,Kepler-1655,Transit,2018,5.4,2.213,11.8728787,938.0,6148.0,1.03,213.26
Ross 458 c,Ross 458,Imaging,2010,1906.98,14.01125,,,,,11.5094
Kepler-221 e,Kepler-221,Transit,2014,,2.63,18.369917,,5243.0,,385.231
Kepler-1007 b,Kepler-1007,Transit,2016,,1.44,5.185002073,,4587.0,0.73,
Kepler-1587 b,Kepler-1587,Transit,2016,,1.33,9.4060467,,5933.0,1.08,1026.48
Kepler-555 b,Kepler-555,Transit,2016,,2.83,16.21775407,,5894.0,1.03,973.121
HD 203387 b,HD 203387,Radial Velocity,2022,1106.04285636,,512.5352,,,2.817,61.7477
Kepler-509 b,Kepler-509,Transit,2016,,2.49,41.74600392,,6060.0,1.1,332.443
HD 167677 b,HD 167677,Radial Velocity,2023,905.81095995,,1820.0,,5474.0,0.96,54.3258
Kepler-775 b,Kepler-775,Transit,2016,,1.19,0.974868926,,5468.0,0.92,398.676
K2-133 e,K2-133,Transit,2019,,1.73,26.5841,296.0,3655.0,0.461,75.1703
HD 11343 c,HIP 8541,Radial Velocity,2022,255.53403923,,228.53731,,,2.009,155.121
Kepler-141 c,Kepler-141,Transit,2014,,1.41,7.010606,,4910.0,,301.183
HD 130322 b,HD 130322,Radial Velocity,1999,365.49,,10.70871,,5387.0,0.92,31.8766
NGTS-23 b,NGTS-23,Transit,2022,194.82881349,14.20177855,4.0764326,1327.0,6057.0,1.01,1074.95
Kepler-299 b,Kepler-299,Transit,2014,,1.32,2.927128,,5617.0,,1052.24
HAT-P-21 b,HAT-P-21,Transit,2010,1547.8321,12.44199,4.12448,,5588.0,1.24,277.278
HATS-24 b,HATS-24,Transit,2017,718.2958,15.636555,1.3484978,2166.0,6125.0,1.07,494.182
Kepler-1398 c,Kepler-1398,Transit,2016,,1.03,4.13827595,,6126.0,1.13,852.204
NGTS-18 b,NGTS-18,Transit,2021,129.99181846,13.56286665,3.05125,1381.0,5610.0,1.003,1096.19
TOI-5726.01,TOI-5726,Transit,2024,,2.554,5.491125215,,5874.0,1.06,108.848
TOI-4342 b,TOI-4342,Transit,2023,7.3,2.329,5.5382592,639.0,3866.0,0.587,61.5204
Kepler-193 c,Kepler-193,Transit,2014,,2.75,50.697494,,6335.0,,1009.1
XO-4 b,XO-4,Transit,2010,451.3186,14.01125,4.12508,,6397.0,1.1,272.655
HD 1666 b,HD 1666,Radial Velocity,2015,2040.0,,270.0,,6317.0,1.5,117.908
GJ 3378 b,GJ 3378,Radial Velocity,2026,2.3,,21.45,272.0,3340.0,0.262,7.72274
Kepler-184 d,Kepler-184,Transit,2014,,2.49,29.022358,,5788.0,,610.326
TOI-559 b,TOI-559,Transit,2021,1910.14872607,12.22899794,6.9839095,1180.0,5925.0,1.026,233.266
Kepler-39 b,Kepler-39,Transit,2011,6388.1,13.9,21.08721,897.0,6350.0,1.29,1057.41
Kepler-716 b,Kepler-716,Transit,2016,,2.9,10.37168453,,5099.0,0.83,635.009
HAT-P-54 b,HAT-P-54,Transit,2015,241.5508,10.581296,3.799847,818.0,4390.0,0.645,143.651
Kepler-938 b,Kepler-938,Transit,2016,,2.22,52.6298417,,5533.0,0.92,1182.05
Kepler-353 c,Kepler-353,Transit,2014,,1.38,8.410894,,3903.0,,384.694
WASP-90 b,WASP-90,Transit,2016,200.2329,18.27067,3.916243,1840.0,6430.0,1.55,466.433
TrES-1 b,TrES-1,Transit,2004,266.9772,12.66617,3.03007,,5230.0,1.04,159.658
Kepler-1337 b,Kepler-1337,Transit,2016,,2.41,24.4002549,,4523.0,0.7,601.629
Kepler-1543 b,Kepler-1543,Transit,2016,,2.71,6.96710269,,6561.0,1.39,921.784
Kepler-241 c,Kepler-241,Transit,2014,,2.57,36.065978,,4699.0,,
Kepler-43 b,Kepler-43,Transit,2011,1026.5909,13.663771,3.0240949,1620.0,6041.0,1.32,1005.84
Kepler-1800 b,Kepler-1800,Transit,2021,,0.99679734,4.562029839,,5343.0,1.33,350.455
Kepler-823 b,Kepler-823,Transit,2016,,1.57,4.16809082,,5643.0,0.98,1389.27
TOI-5777 b,TOI-5777,Transit,2026,,3.09551273,6.91716177373,,4408.03,,114.277
TIC 38828280 b,TIC 38828280,Transit,2026,,2.62701629,4.85558984762,,5046.63,,286.415
K2-213 b,K2-213,Transit,2018,,1.51398464,8.13087,,5794.0,1.069596,389.702
HD 219134 b,HD 219134,Radial Velocity,2015,4.74,1.602,3.092926,1015.0,4699.0,0.81,6.53127
TIC 18942729 b,TIC 18942729,Transit,2026,,2.00021315,0.99817838064,,4360.11,,115.169
TOI-1937 A b,TOI-1937 A,Transit,2023,638.83509807,13.97759893,0.94667944,2097.0,5814.0,1.072,415.135
Kepler-224 d,Kepler-224,Transit,2014,,2.3,11.349393,,5018.0,,782.088
Kepler-104 c,Kepler-104,Transit,2014,,3.13,23.668205,,5711.0,,400.785
Kepler-1993 b,Kepler-1993,Transit,2023,,4.15,26.6565737,903.0,5159.0,1.373,1031.91
Kepler-630 b,Kepler-630,Transit,2016,,3.18,161.4743937,,5829.0,1.02,839.784
NGTS-35 b,NGTS-35,Transit,2025,152.0,10.9,25.241192,451.0,4717.0,0.789,183.078
HD 18015 b,HD 18015,Radial Velocity,2018,1010.6994,,2278.0,,5603.0,1.49,123.801
HD 133131 A b,HD 133131 A,Radial Velocity,2016,451.3186,,649.0,,5799.0,0.95,51.4736
Kepler-1588 b,Kepler-1588,Transit,2016,,0.76,7.84931739,,5817.0,0.96,924.141
Kepler-945 b,Kepler-945,Transit,2016,,2.63,31.0033814,,5718.0,0.97,1651.25
KMT-2022-BLG-1818L b,KMT-2022-BLG-1818L,Microlensing,2026,1271.313628,,,,,0.79,5300.0
Oph 11 b,Oph 11,Imaging,2006,4449.62,,7300000.0,2175.0,2375.0,0.016,
K2-317 b,K2-317,Transit,2020,,2.93,6.22,432.0,3387.0,0.403,176.291
HD 222155 b,HD 222155,Radial Velocity,2011,673.7996,,3999.0,,5701.0,1.21,50.6078
Kepler-116 c,Kepler-116,Transit,2014,,2.3,13.07163,,6142.0,,955.168
K2-44 b,K2-44,Transit,2016,,2.433,5.657,,5912.0,1.15,476.703
HD 12235 c,HD 12235,Radial Velocity,2022,3135.69506346,,36336.70679,,,1.1,31.7627
Kepler-1848 b,Kepler-1848,Transit,2021,,1.4088539,5.604020119,,4847.0,0.756,309.696
75 Cet c,75 Cet,Radial Velocity,2023,289.85950718,,2051.62,,4809.0,1.92,82.9613
Qatar-10 b,Qatar-10,Transit,2019,233.92288,17.295487,1.645321,1955.0,6124.0,1.156,559.068
HD 11964 b,HD 11964,Radial Velocity,2005,198.0,,1945.0,,5303.0,0.91,33.5369
MOA-2010-BLG-328L b,MOA-2010-BLG-328L,Microlensing,2013,9.2,,,,,0.11,810.0
Kepler-53 b,Kepler-53,Transit,2012,111.0,2.89,18.6489525,,5858.0,0.98,1366.07
KMT-2016-BLG-2397L b,KMT-2016-BLG-2397L,Microlensing,2020,836.0,,,,,0.64,4880.0
Kepler-1405 b,Kepler-1405,Transit,2016,,3.96,28.2274184,,5925.0,1.05,1530.3
Kepler-255 d,Kepler-255,Transit,2016,,1.32,1.045622658,,5431.0,0.9,1052.53
HATS-30 b,HATS-30,Transit,2016,224.38798,13.170575,3.1743516,1414.0,5943.0,1.093,342.14
Kepler-1445 b,Kepler-1445,Transit,2016,,0.96,10.60052251,,6150.0,1.13,506.357
Kepler-1199 b,Kepler-1199,Transit,2016,,1.15,15.0447198,,5889.0,0.94,563.493
Kepler-1023 b,Kepler-1023,Transit,2016,,2.63,62.1387714,,5494.0,0.93,694.175
Kepler-625 c,Kepler-625,Transit,2016,,1.05,4.1653651,,5789.0,1.04,760.708
K2-201 b,K2-201,Transit,2018,,1.40006712,1.05979,,5507.0,0.956055,197.932
K2-275 b,K2-275,Transit,2018,,2.34,3.2809626,1166.0,4841.0,0.77,123.438
Kepler-225 b,Kepler-225,Transit,2014,,1.2,6.738975,,3682.0,,561.101
TIC 65612701 b,TIC 65612701,Transit,2026,,5.07802804,10.22467974953,,5692.29,,151.624
HD 5278 b,HD 5278,Transit,2021,7.8,2.45,14.339156,943.0,6203.0,1.126,57.5846
Kepler-539 c,Kepler-539,Transit Timing Variations,2016,762.792,,1000.0,253.0,5820.0,1.048,307.318
Kepler-286 b,Kepler-286,Transit,2014,,1.24,1.796302,,5580.0,,1226.85
Kepler-55 f,Kepler-55,Transit,2014,,1.59,10.198545,,4503.0,,578.796
Kepler-215 d,Kepler-215,Transit,2014,,2.39,30.864423,,5739.0,,485.997
K2-31 b,K2-31,Transit,2016,563.83042,11.88154,1.25785,,5280.0,0.91,110.527
Kepler-1143 b,Kepler-1143,Transit,2016,,1.67,2.888904849,,5053.0,0.81,555.189
HD 133131 B b,HD 133131 B,Radial Velocity,2016,794.575,,5769.0,,5805.0,0.93,51.2993
Kepler-1805 b,Kepler-1805,Transit,2021,,1.54502915,8.847940445,,3867.0,0.581,221.639
Kepler-847 b,Kepler-847,Transit,2016,,1.18,2.343231895,,4940.0,0.83,513.103
Kepler-32 b,Kepler-32,Transit,2011,1303.0,2.2,5.90124,,3900.0,0.58,323.847
Kepler-140 c,Kepler-140,Transit,2014,,1.8,91.353282,,6077.0,,583.859
K2-336 b,K2-336,Transit,2021,,1.22,21.194733,569.0,5424.0,0.86,239.289
KMT-2021-BLG-1554L b,KMT-2021-BLG-1554L,Microlensing,2022,38.13940884,,,,,0.08,7680.0
GJ 1061 c,GJ 1061,Radial Velocity,2020,1.81,,6.6821,,2953.0,0.12,3.67278
Kepler-968 b,Kepler-968,Transit,2016,,2.0,3.692983728,,4598.0,0.76,290.324
KMT-2023-BLG-0416L b,KMT-2023-BLG-0416L,Microlensing,2024,13.03096469,,,,,0.63,5900.0
OGLE-2017-BLG-0173L b,OGLE-2017-BLG-0173L,Microlensing,2018,3.269,,,,,0.396,4705.0
Kepler-940 b,Kepler-940,Transit,2016,,3.34,59.6225257,,5769.0,0.97,1260.78
Kepler-262 b,Kepler-262,Transit,2014,,1.36,13.060855,,5841.0,,613.129
TOI-3457 b,TOI-3457,Transit,2026,797.74930157,10.64,32.600268,824.2,6300.0,1.04,370.666
TOI-942 c,TOI-942,Transit,2020,,4.67,10.156272,,,0.822,152.601
Kepler-69 b,Kepler-69,Transit,2013,,2.24,13.722341,779.0,5638.0,0.81,730.625
HD 167768 b,HD 167768,Radial Velocity,2022,270.15414595,,20.6532,,4851.0,1.08,107.214
KELT-19 A b,KELT-19 A,Transit,2017,1293.5681,21.40919,4.6117093,1935.0,7500.0,1.62,300.276
HR 858 b,HR 858,Transit,2019,3.55,2.004,3.585287,1552.0,6354.0,1.204,31.964
Kepler-447 b,Kepler-447,Transit,2015,435.41,18.49,7.79430132,,5493.0,1.0,268.041
TIC 434398831 c,TIC 434398831,Transit,2025,,5.63,6.210291,1050.0,5638.0,0.992,217.011
K2-59 c,K2-59,Transit,2016,,2.3,11.2954,,5055.0,0.774,311.313
HR 8799 d,HR 8799,Imaging,2008,3000.0,13.0,37000.0,,,1.5,41.2441
Kepler-1649 b,Kepler-1649,Transit,2017,,1.017,8.689099,307.0,3240.0,0.1977,92.1913
HD 141399 c,HD 141399,Radial Velocity,2014,422.7139,,201.99,,5600.0,1.07,37.0169
K2-90 c,K2-90,Transit,2016,,1.3,2.900706,,4421.98,0.704613,134.188
HD 12648 b,HD 12648,Radial Velocity,2015,622.9468,,133.60001,,4835.0,0.67,182.192
K2-58 c,K2-58,Transit,2016,,1.62,2.53726,,5413.0,0.89,181.746
WASP-182 b,WASP-182,Transit,2019,47.03884,9.52765,3.3769848,1479.0,5638.0,1.076,327.602
Kepler-489 b,Kepler-489,Transit,2016,,7.72,17.276296119,,5014.0,0.82,369.645
Kepler-1924 b,Kepler-1924,Transit,2021,,2.65446572,15.33170033,,5726.0,1.018,1910.77
Kepler-922 b,Kepler-922,Transit,2016,,1.42,0.938466832,,5671.0,0.95,536.323
HD 19994 b,HD 19994,Radial Velocity,2003,435.41,,466.2,,6188.0,1.365,22.5242
TOI-2570 b,TOI-2570,Transit,2022,260.61929374,13.64132951,2.9887615,1431.0,5771.0,1.063,361.857
Kepler-232 b,Kepler-232,Transit,2014,,3.08,4.431222,,5847.0,,1349.13
HATS-4 b,HATS-4,Transit,2014,420.471,11.433,2.516729,1315.0,5403.0,1.001,416.459
TOI-763 c,TOI-763,Transit,2020,9.32,2.63,12.2737,800.0,5450.0,0.917,95.1274
HIP 54373 c,HIP 54373,Radial Velocity,2019,12.44,,15.144,,4021.0,0.57,18.7168
K2-263 b,K2-263,Transit,2018,15.4,2.513,50.819172,482.0,5368.0,0.88,162.481
K2-32 d,K2-32,Transit,2016,6.7,3.484,31.71701,550.0,5271.0,0.83,157.682
Kepler-732 b,Kepler-732,Transit,2016,,2.18,9.467814048,,3631.0,0.49,174.826
K2-190 c,K2-190,Transit,2018,,1.09308317,21.574023,,5631.0,0.904597,160.679
K2-43 c,K2-43,Transit,2019,,2.42,2.198884,1093.7,3840.6,0.571,182.536
K2-42 b,K2-42,Transit,2016,,2.15,6.68796,,4613.0,0.702,396.913
Kepler-185 b,Kepler-185,Transit,2014,,1.17,1.6329,,5208.0,,466.735
Kepler-178 d,Kepler-178,Transit,2014,,3.95,96.678988,,5676.0,,716.025
HD 38801 b,HD 38801,Radial Velocity,2009,3082.31534,,685.25,,5338.0,1.207,91.4349
K2-316 c,K2-316,Transit,2020,,1.83,5.26,423.0,3436.0,0.408,112.486
KMT-2019-BLG-0414L b,KMT-2019-BLG-0414L,Microlensing,2022,1452.47581999,,,,,0.74,4410.0
TOI-1203.01,TOI-1203,Transit,2021,7.39,2.918,25.502672,743.6,5737.0,0.886,64.9943
TIC 67686059 b,TIC 67686059,Transit,2026,,2.59125922,3.52163529551,,5090.09,,249.203
Kepler-207 b,Kepler-207,Transit,2014,,1.57,1.611865,,5920.0,,875.519
WASP-114 b,WASP-114,Transit,2016,562.24127,15.008851,1.5487743,2043.0,5940.0,1.289,523.337
Kepler-602 b,Kepler-602,Transit,2016,,2.09,15.28469497,,6062.0,1.08,1159.31
Kepler-396 b,Kepler-396,Transit,2013,75.5,3.5,42.994,,,0.85,223.757
Kepler-113 c,Kepler-113,Transit,2014,8.7,2.18,8.92507,,4725.0,0.75,262.351
G 264-012 b,G 264-012,Radial Velocity,2021,2.5,,2.30538,587.0,3326.0,0.297,16.009
NGC 2682 YBP 1514 b,NGC 2682 YBP 1514,Radial Velocity,2014,127.132,,5.118,,5725.0,0.96,914.221
Kepler-1238 b,Kepler-1238,Transit,2016,,1.93,4.14787559,,6386.0,1.3,1632.13
K2-225 b,K2-225,Transit,2018,,3.60929179,15.8723,923.0,5520.0,1.482,357.778
Kepler-1802 c,Kepler-1802,Transit,2021,,2.322,33.13610077,,4245.0,0.649,636.694
HD 116029 b,HD 116029,Radial Velocity,2011,444.962,,670.0,,4819.0,0.83,123.245
Kepler-259 c,Kepler-259,Transit,2014,,2.7,36.924931,,5938.0,,1002.14
Kepler-1617 b,Kepler-1617,Transit,2016,,1.2,27.4785572,,6167.0,1.15,898.31
K2-388 b,K2-388,Transit,2022,,3.9,6.33932,874.0,5310.0,0.93,290.495
Kepler-142 d,Kepler-142,Transit,2014,,2.16,41.809118,,5790.0,,548.686
Kepler-1840 b,Kepler-1840,Transit,2021,,2.77771129,131.1900024,,4898.0,0.774,513.107
Kepler-1757 b,Kepler-1757,Transit,2021,,2.94660251,19.65640068,,5288.0,0.828,807.308
Kepler-737 b,Kepler-737,Transit,2016,,1.96,28.59915399,,3813.0,0.51,205.118
TOI-2094 b,TOI-2094,Transit,2026,,1.9,18.793193,276.0,3435.0,0.425,50.0248
TOI-913 b,TOI-913,Transit,2023,,2.4528,11.098644,712.01,4969.0,0.82,65.1769
HAT-P-50 b,HAT-P-50,Transit,2015,429.0705,14.437192,3.1220109,1862.0,6280.0,1.273,515.458
HD 92788 c,HD 92788,Radial Velocity,2019,1166.4361,,11611.2975,,5744.0,1.15,34.6538
Kepler-1423 b,Kepler-1423,Transit,2016,,1.06,23.955378,,4939.0,0.79,
HD 175167 b,HD 175167,Radial Velocity,2009,4703.8604236,,1175.0,,,1.09,71.0863
Kepler-1920 b,Kepler-1920,Transit,2021,,2.95415848,30.2541008,,6277.0,1.239,885.913
TOI-2104 b,TOI-2104,Transit,2026,,1.52898127,5.904370457,,4856.13,,76.7418
K2-148 d,K2-148,Transit,2018,,1.64,9.7579,,4079.0,0.65,124.458
WASP-132 c,WASP-132,Transit,2022,6.26,1.841,1.01153624,1329.0,4686.0,0.789,122.91
TOI-1346 c,TOI-1346,Transit,2025,,2.23,5.502558,928.0,5099.0,0.82,115.45
WASP-192 b,WASP-192,Transit,2019,731.009,13.78707,2.8786765,1620.0,5910.0,1.09,508.885
HD 28109 b,HD 28109,Transit,2022,6.2,2.69,22.891054,867.0,6189.0,1.227,139.611
TOI-2427 b,TOI-2427,Transit,2022,,1.8,1.3060011,1117.0,4072.0,0.64,28.5147
HATS-32 b,HATS-32,Transit,2016,292.4036,14.000041,2.8126548,1437.0,5700.0,1.099,745.116
Kepler-276 d,Kepler-276,Transit,2013,16.3,2.8,48.648,,,1.1,1144.86
Kepler-245 b,Kepler-245,Transit,2014,,2.57,7.49019,,5100.0,,861.527
Gliese 12 b,Gliese 12,Transit,2024,0.95,0.93,12.761418,,3328.0,0.255,12.21
K2-408 b,K2-408,Transit,2022,,1.677,20.978959,,5335.0,0.813,162.306
TOI-5388.01,TOI-5388,Transit,2024,2.2,0.99,2.5946748,488.0,3440.0,0.292,18.5226
TOI-5159 b,TOI-5159,Transit,2026,,1.54732112,5.83639428843,,5156.16,,55.1788
Kepler-1063 b,Kepler-1063,Transit,2016,,1.49,14.07971466,,5945.0,1.09,343.226
Kepler-172 b,Kepler-172,Transit,2014,,2.35,2.940309,,5526.0,,828.592
Kepler-181 b,Kepler-181,Transit,2014,,1.27,3.137873,,5333.0,,609.283
Kepler-219 d,Kepler-219,Transit,2014,,2.81,47.903645,,5786.0,,787.07
WASP-162 b,WASP-162,Transit,2018,1652.716,11.209,9.62468,910.0,5300.0,0.95,310.841
Kepler-949 b,Kepler-949,Transit,2016,,2.91,8.689307296,,5403.0,0.89,486.105
TIC 279401253 b,TIC 279401253,Transit,2023,1951.46641898,11.2089807,76.8,,5951.0,1.13,285.584
Kepler-65 b,Kepler-65,Transit,2012,,1.42,2.15491,,6211.0,1.25,303.728
K2-73 b,K2-73,Transit,2016,9.2,2.58,7.49556,968.0,5867.0,1.02,269.183
Kepler-441 b,Kepler-441,Transit,2015,,1.64,207.2482,,4340.0,0.572,268.003
KOI-134 b,KOI-134,Transit,2025,346.43296363,12.03844527,67.1277,659.0,6160.0,1.407,1159.21
K2-389 b,K2-389,Transit,2022,,2.33,8.58289,932.0,5773.0,0.99,259.208
Kepler-1899 b,Kepler-1899,Transit,2021,,1.55098292,4.095779896,,4791.0,0.759,711.509
TOI-2194 b,TOI-2194,Transit,2023,,1.9892,15.337597,590.88,4756.0,0.74,19.5711
Kepler-646 b,Kepler-646,Transit,2016,,1.99,15.87364565,,5634.0,0.93,451.794
CoRoT-14 b,CoRoT-14,Transit,2010,2415.4,12.22,1.51214,1952.0,6035.0,1.13,1744.6
TOI-1722 b,TOI-1722,Transit,2026,,4.38298108,9.60523206943,,5999.55,,136.419
Kepler-254 c,Kepler-254,Transit,2014,,2.15,12.412183,,5957.0,,1389.48
TOI-1199 b,TOI-1199,Transit,2024,75.96098927,10.5140239,3.671463,1486.0,5710.0,1.23,248.427
WASP-53 b,WASP-53,Transit,2017,677.61356,12.038466,3.3098443,1053.0,4953.0,0.839,201.338
TOI-669 b,TOI-669,Transit,2023,10.0,2.58606487,3.945152,1124.85,5597.0,0.9245,142.867
K2-384 f,K2-384,Transit,2022,,2.222,13.62749,,3623.0,0.33,82.6603
HD 83443 b,HD 83443,Radial Velocity,2002,127.76701961,,2.985628,,5442.0,1.0,40.8991
KOI-142 c,KOI-142,Transit Timing Variations,2013,214.1,,22.26492,,5466.0,0.99,376.863
Kepler-757 b,Kepler-757,Transit,2016,,1.36,1.022678821,,6014.0,1.08,1068.68
Kepler-160 d,Kepler-160,Transit Timing Variations,2020,100.0,,30.0,,5471.0,,937.013
Kepler-164 b,Kepler-164,Transit,2014,,1.41,5.03503,,5888.0,,890.758
KOI-1843.03,Kepler-974,Transit,2013,8.0,0.61,0.1768913,,3584.0,0.46,134.311
Kepler-1073 b,Kepler-1073,Transit,2016,,2.3,8.67888593,,5792.0,1.0,809.897
Kepler-782 b,Kepler-782,Transit,2016,,3.21,158.6853308,,5867.0,0.98,446.844
Kepler-679 b,Kepler-679,Transit,2016,,3.01,12.39358604,,5403.0,0.87,922.244
Kepler-1289 b,Kepler-1289,Transit,2016,,1.52,7.99019627,,6080.0,1.1,1053.57
EPIC 212737443 b,EPIC 212737443,Transit,2019,,2.586,13.603,536.0,4684.0,0.69,336.25
KOINTREAU-4 b,2MASS J16262785-2625152,Imaging,2026,4862.7746271,,,,,,145.434
HD 4208 b,HD 4208,Radial Velocity,2001,257.4423,,832.97,,5717.0,0.883,34.1937
Kepler-307 c,Kepler-307,Transit,2013,3.64,2.2,13.0729,,5367.0,0.907,575.581
HAT-P-51 b,HAT-P-51,Transit,2015,97.57332095,13.50682174,4.21802091,1168.2,5453.0,0.961,440.089
Kepler-817 b,Kepler-817,Transit,2016,,9.03,3.990106229,,5861.0,1.03,1484.46
K2-384 d,K2-384,Transit,2022,,1.392,6.679582,,3623.0,0.33,82.6603
Kepler-1624 b,Kepler-1624,Transit,2016,,6.59,3.290314,,3768.0,0.541,258.979
TYC 1422-614-1 b,TYC 1422-614-1,Radial Velocity,2014,794.5,,198.4,,4806.0,1.15,672.41
Kepler-1519 b,Kepler-1519,Transit,2016,,7.06,240.7989397,,5644.0,0.94,1441.63
Kepler-725 b,Kepler-725,Transit,2016,,10.8,39.64372,514.0,5395.0,0.95,758.469
HD 59686 A b,HD 59686 A,Radial Velocity,2016,2199.3836,,299.36,,4658.0,1.9,89.2721
HATS-35 b,HATS-35,Transit,2016,388.38826,16.409976,1.8209993,2037.0,6300.0,1.317,514.555
TOI-5076 b,TOI-5076,Transit,2024,16.14568308,3.48935569,23.443162,550.0,4780.0,0.789,82.857
TOI-4504 c,TOI-4504,Transit,2024,1197.32317485,11.09689089,82.97213,,5315.0,0.89,342.605
OGLE-2018-BLG-0298L b,OGLE-2018-BLG-0298L,Microlensing,2022,44.49597698,,,,,0.69,6540.0
HD 19615 b,HD 19615,Radial Velocity,2022,2701.5414595,,402.0,,4263.0,1.1,265.155
Kepler-1141 b,Kepler-1141,Transit,2016,,0.82,2.344511944,,5791.0,1.01,393.642
Kepler-129 b,Kepler-129,Transit,2014,20.0,2.4,15.79,,5770.0,1.178,408.845
HD 62509 b,HD 62509,Radial Velocity,2006,731.0,,589.64,,4892.63,,
TOI-1288 b,TOI-1288,Transit,2022,44.1,4.96846551,2.6998279,1203.44,5388.0,0.9552,114.865
HD 235088 b,HD 235088,Transit,2023,4.15,1.982,7.4341325,,5075.0,0.849,41.1706
K2-37 c,K2-37,Transit,2016,,2.41,6.42966,839.0,5352.0,0.84,179.943
Kepler-1529 b,Kepler-1529,Transit,2016,,2.1,5.33905686,,5048.0,0.81,661.014
Kepler-87 c,Kepler-87,Transit,2013,6.4,6.14,191.2318,403.0,5600.0,1.1,1232.9
Kepler-1981 b,Kepler-1981,Transit,2023,,9.23,453.54212,390.0,5874.0,1.519,659.395
HD 147873 b,HD 147873,Radial Velocity,2016,1633.6462,,116.596,,5972.0,1.38,109.055
Kepler-58 d,Kepler-58,Transit,2014,,2.94,40.101371,,6099.0,,969.252
HD 219415 b,HD 219415,Radial Velocity,2012,317.83,,2093.3,,4820.0,1.0,165.184
Kepler-1866 b,Kepler-1866,Transit,2021,,2.08215108,11.66009998,,5791.0,1.03,976.737
HD 120084 b,HD 120084,Radial Velocity,2013,2034.1018048,,2142.0,,4879.0,2.16,103.044
HD 180902 b,HD 180902,Radial Velocity,2009,535.54355,,510.9,,4961.0,1.41,104.577
HD 47366 c,HD 47366,Radial Velocity,2016,483.73483545,,677.53,,4866.0,1.81,84.3552
Kepler-353 b,Kepler-353,Transit,2014,,0.89,5.795278,,3903.0,,384.694
Kepler-1506 b,Kepler-1506,Transit,2016,,1.32,14.0329154,,5676.0,0.95,2366.02
K2-340 b,K2-340,Transit,2021,,3.36,29.740451,606.0,5532.0,0.93,738.136
WASP-136 b,WASP-136,Transit,2016,,16.81347105,,1630.0,,,275.587
KIC 3558849 b,KIC 3558849,Transit,2015,,6.9,1322.3,,6175.0,0.98,1215.7
